method,recall@1,recall@5,seconds
BM25,0.248,0.43533333333333335,0.8561251163482666
msmarco-MiniLM,0.38066666666666665,0.6046666666666667,34.7376127243042
UAE-large-v1,0.6293333333333333,0.8866666666666667,479.59173345565796
